"Destination","Origin","M_Size","Date","DataDate","OrigFood","OrigFuel","OrigWage","DestFood","DestFuel","DestWage","NumMonths","OriginConflict","DestConflict","OriginConflict3","DestConflict3","OriginLon","OriginLat","DestLon","DestLat","dist"
"Daraa","Homs",7,Oct 2016,Jul 2016,400,1175,500,400,2750,925,9,-0.240445735398867,-0.408233413683435,0.044793317684898,-0.223666967570411,36.7137,34.73243,36.10331,32.62643,241159.45101729
"Hassakeh","Edlib",70,Oct 2016,Jul 2016,440,2862.5,1750,680,2380,900,9,-0.240445735398867,-0.307560806712694,-0.508906020654176,-0.475348484997262,36.64178,35.93103,40.74627,36.50787,374136.52230086
"Rural Damascus","Al_Qunaytirah",90,Oct 2016,Jul 2016,431.5,1519,1200,525,2775,1500,9,-0.59279985979646,-0.525684788482633,-0.274003271055781,0.0615720855133548,35.8258,33.1263,36.95411,33.51673,113596.243846204
"Hassakeh","Rural Damascus",11,Oct 2016,Jul 2016,525,2775,1500,680,2380,900,9,-0.525684788482633,-0.307560806712694,0.0615720855133548,-0.475348484997262,36.95411,33.51673,40.74627,36.50787,479926.271494711
"Daraa","Rural Damascus",44,Oct 2016,Jul 2016,525,2775,1500,400,2750,925,9,-0.525684788482633,-0.408233413683435,0.0615720855133548,-0.223666967570411,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Al_Qunaytirah","Rural Damascus",9,Oct 2016,Jul 2016,525,2775,1500,431.5,1519,1200,9,-0.525684788482633,-0.59279985979646,0.0615720855133548,-0.274003271055781,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Deir Ezzor","Hassakeh",25,Nov 2016,Aug 2016,575,2280,950,625,4000,1150,10,-0.559242324139546,-0.525684788482633,-0.0223217536289292,-0.290782038884238,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",144,Nov 2016,Aug 2016,525,1850,1800,575,2280,950,10,-0.324339574541151,-0.559242324139546,-0.492127252825719,-0.0223217536289292,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Deir Ezzor","Raqqa",112,Nov 2016,Aug 2016,525,1850,1800,625,4000,1150,10,-0.324339574541151,-0.525684788482633,-0.492127252825719,-0.290782038884238,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Daraa","Damascus",8,Nov 2016,Aug 2016,434.5,1370,1500,394,2350,950,10,-0.0391005214573859,-0.458569717168805,-0.240445735398867,-0.425012181511892,36.27653,33.51381,36.10331,32.62643,100095.563384179
"Rural Damascus","Damascus",18,Nov 2016,Aug 2016,434.5,1370,1500,550,2775,1500,10,-0.0391005214573859,-0.441790949340349,-0.240445735398867,-0.223666967570411,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Al_Qunaytirah","Daraa",47,Nov 2016,Aug 2016,394,2350,950,425,1525,1200,10,-0.458569717168805,-0.425012181511892,-0.425012181511892,-0.525684788482633,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Hassakeh","Deir Ezzor",1843,Nov 2016,Aug 2016,625,4000,1150,575,2280,950,10,-0.525684788482633,-0.559242324139546,-0.290782038884238,-0.0223217536289292,40.13503,35.32965,40.74627,36.50787,142263.377621835
"Rural Damascus","Deir Ezzor",172,Nov 2016,Aug 2016,625,4000,1150,550,2775,1500,10,-0.525684788482633,-0.441790949340349,-0.290782038884238,-0.223666967570411,40.13503,35.32965,36.95411,33.51673,354994.722148592
"Deir Ezzor","Homs",23,Nov 2016,Aug 2016,400,1375,1000,625,4000,1150,10,-0.290782038884238,-0.525684788482633,-0.374675878026522,-0.290782038884238,36.7137,34.73243,40.13503,35.32965,318853.589763632
"Rural Damascus","Edlib",48,Nov 2016,Aug 2016,450,4120,1800,550,2775,1500,10,-0.357897110198065,-0.441790949340349,-0.357897110198065,-0.223666967570411,36.64178,35.93103,36.95411,33.51673,270273.056074635
"Hassakeh","Rural Damascus",3,Nov 2016,Aug 2016,550,2775,1500,575,2280,950,10,-0.441790949340349,-0.559242324139546,-0.223666967570411,-0.0223217536289292,36.95411,33.51673,40.74627,36.50787,479926.271494711
"Daraa","Rural Damascus",61,Nov 2016,Aug 2016,550,2775,1500,394,2350,950,10,-0.441790949340349,-0.458569717168805,-0.223666967570411,-0.425012181511892,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Al_Qunaytirah","Rural Damascus",35,Nov 2016,Aug 2016,550,2775,1500,425,1525,1200,10,-0.441790949340349,-0.425012181511892,-0.223666967570411,-0.525684788482633,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Deir Ezzor","Hassakeh",35,Dec 2016,Sep 2016,600,1759,900,737.5,3325,1150,11,-0.576021091968003,-0.576021091968003,-0.542463556311089,-0.00554298580047237,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",324,Dec 2016,Sep 2016,525,1850,1825,600,1759,900,11,-0.341118342369608,-0.576021091968003,-0.508906020654176,-0.542463556311089,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Deir Ezzor","Raqqa",94,Dec 2016,Sep 2016,525,1850,1825,737.5,3325,1150,11,-0.341118342369608,-0.576021091968003,-0.508906020654176,-0.00554298580047237,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Daraa","Damascus",8,Dec 2016,Sep 2016,435,1470,1500,400,2100,1000,11,0.128687156827182,-0.441790949340349,0.212580995969466,-0.374675878026522,36.27653,33.51381,36.10331,32.62643,100095.563384179
"Al_Qunaytirah","Daraa",42,Dec 2016,Sep 2016,400,2100,1000,412.5,1525,1200,11,-0.441790949340349,-0.576021091968003,-0.374675878026522,-0.0894368249427563,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Hassakeh","Deir Ezzor",1836,Dec 2016,Sep 2016,737.5,3325,1150,600,1759,900,11,-0.576021091968003,-0.576021091968003,-0.00554298580047237,-0.542463556311089,40.13503,35.32965,40.74627,36.50787,142263.377621835
"Rural Damascus","Deir Ezzor",20,Dec 2016,Sep 2016,737.5,3325,1150,550,2750,1500,11,-0.576021091968003,-0.508906020654176,-0.00554298580047237,-0.525684788482633,40.13503,35.32965,36.95411,33.51673,354994.722148592
"Deir Ezzor","Homs",12,Dec 2016,Sep 2016,460,1475,1000,737.5,3325,1150,11,1.50454611876064,-0.576021091968003,0.0112357820279844,-0.00554298580047237,36.7137,34.73243,40.13503,35.32965,318853.589763632
"Rural Damascus","Homs",75,Dec 2016,Sep 2016,460,1475,1000,550,2750,1500,11,1.50454611876064,-0.508906020654176,0.0112357820279844,-0.525684788482633,36.7137,34.73243,36.95411,33.51673,137132.346030061
"Deir Ezzor","Edlib",10,Dec 2016,Sep 2016,450,4120,1850,737.5,3325,1150,11,-0.206888199741954,-0.576021091968003,-0.374675878026522,-0.00554298580047237,36.64178,35.93103,40.13503,35.32965,323060.075897742
"Daraa","Rural Damascus",61,Dec 2016,Sep 2016,550,2750,1500,400,2100,1000,11,-0.508906020654176,-0.441790949340349,-0.525684788482633,-0.374675878026522,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Al_Qunaytirah","Rural Damascus",35,Dec 2016,Sep 2016,550,2750,1500,412.5,1525,1200,11,-0.508906020654176,-0.576021091968003,-0.525684788482633,-0.0894368249427563,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Al_Qunaytirah","Rural Damascus",4,Jan 2017,Oct 2016,500,1850,1500,375,1530,1200,12,1.22726980639367,-0.773850845211464,-0.525684788482633,-0.59279985979646,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Daraa","Rural Damascus",5,Jan 2017,Oct 2016,500,1850,1500,400,1512.5,1150,12,1.22726980639367,0.479863297962838,-0.525684788482633,-0.408233413683435,36.95411,33.51673,36.10331,32.62643,126968.754404616
